,ctx_lens,batch_size,num_heads,head_size,block_size,dtype,qlen,trans_v,us_hip_bf16,us_triton_fp8,us_gluon_fp8,err_gluon_fp8,gluon_fp8_bandwith(TB/s),us_asm_fp8,asm_fp8_bandwith(TB/s),us_hip_fp8,perf_fp8_gluon_vs_hip,perf_fp8_gluon_vs_asm
0,512,4,"(5, 1)",128,16,torch.bfloat16,1,False,14.083895833333292,18.49798768197089,11.495353333333448,0,0.041885947922975036,9.137795918367347,0.05320214943431789,13.475260000000043,117%,79%
1,512,4,"(5, 1)",128,16,torch.bfloat16,2,False,17.44915463917526,23.751152422126218,11.64111680416852,0,0.041761490081020064,9.383707070707082,0.05280041309496038,16.27524489795925,140%,81%
2,512,4,"(5, 1)",128,16,torch.bfloat16,3,False,20.24704081632656,,11.789555555555491,0,0.04163066152150904,,,19.3456600000001,164%,NaN
3,512,4,"(5, 1)",128,16,torch.bfloat16,4,False,22.85143749999999,,14.271171717171828,0,0.03471779469230732,13.899715789473698,0.036985652726587846,46.51048484848481,326%,97%
4,512,80,"(5, 1)",128,16,torch.bfloat16,1,False,17.4745432098765,32.42972000000002,15.17124444444435,0,0.6347452548660548,10.17304123711341,0.9557621415623484,16.535620000000073,109%,67%
5,512,80,"(5, 1)",128,16,torch.bfloat16,2,False,24.22638202247188,42.60236727272733,15.444064897959187,0,0.6295627312645139,10.167909090909108,0.9745634137079707,22.248480000000086,144%,66%
6,512,80,"(5, 1)",128,16,torch.bfloat16,3,False,29.498624999999997,,15.765762448979542,0,0.6226238640987835,,,28.318082474226827,180%,NaN
7,512,80,"(5, 1)",128,16,torch.bfloat16,4,False,36.30138461538455,,19.070325306122395,0,0.5196173654535083,14.560660000000002,0.7061356575701155,105.21032000000005,552%,76%
8,512,128,"(5, 1)",128,16,torch.bfloat16,1,False,22.98147126436785,58.584200000000045,20.012923877954808,0,0.7698925338646244,14.910897959183702,1.0433182715730025,20.475085106382974,102%,75%
9,512,128,"(5, 1)",128,16,torch.bfloat16,2,False,35.595499999999994,78.81727935044988,20.80941414141424,0,0.7475853082964153,18.658239999999992,0.8497497893828094,35.71112087912084,172%,90%
10,512,128,"(5, 1)",128,16,torch.bfloat16,3,False,48.82454945054935,,21.127064444444432,0,0.7433983050326438,,,46.91317525773186,222%,NaN
