context_lengths,batch_size,num_heads,head_size,block_size,data_type,query_length,trans_v,us_hip_bf16,us_triton_fp8,us_gluon_fp8,err_gluon_fp8,gluon_fp8_bandwith(TB/s),us_asm_fp8,asm_fp8_bandwith(TB/s),us_hip_fp8,perf_fp8_gluon_vs_hip,perf_fp8_gluon_vs_asm
512,4,"(5, 1)",128,16,torch.bfloat16,1,False,13.769877551020357,18.502563579277883,11.77971020408156,0,0.040874840105096066,9.382434343434346,0.051814951872216276,13.653122448979586,116%,80%
512,4,"(5, 1)",128,16,torch.bfloat16,2,False,17.550021052631514,24.248391397849506,12.15241999999994,0,0.040004409323351406,9.585708333333324,0.051687741006317726,16.57827368421054,136%,79%
512,4,"(5, 1)",128,16,torch.bfloat16,3,False,20.496129032258057,,12.286440000000006,0,0.03994704705531927,,,19.645795918367313,160%,NaN
512,4,"(5, 1)",128,16,torch.bfloat16,4,False,23.05153061224483,,14.764439999999851,0,0.03355790058379725,14.147957446808503,0.03633669829164722,46.408920000000116,314%,96%
512,80,"(5, 1)",128,16,torch.bfloat16,1,False,17.709780487804753,32.87293999999994,15.693688888888847,0,0.6136145229909592,10.398628865979381,0.9350278584127395,16.762459999999898,107%,66%
512,80,"(5, 1)",128,16,torch.bfloat16,2,False,24.313908045976984,43.10834693877556,16.075550204081626,0,0.6048320309756424,10.39419191919191,0.9533470490969229,22.49222222222209,140%,65%
512,80,"(5, 1)",128,16,torch.bfloat16,3,False,29.57519512195131,,16.429684489795996,0,0.5974636909518052,,,28.53391666666658,174%,NaN
512,80,"(5, 1)",128,16,torch.bfloat16,4,False,36.26534065934083,,19.824727272727294,0,0.49984406128707703,15.070131313131311,0.6822635456929208,103.50392000000005,522%,76%
512,128,"(5, 1)",128,16,torch.bfloat16,1,False,23.137590909090964,59.073434343434386,20.64444,0,0.7463414204714912,15.19314736842105,1.0239361146928503,20.723795918367315,100%,74%
512,128,"(5, 1)",128,16,torch.bfloat16,2,False,35.80433333333339,79.4473999999999,21.328407474747436,0,0.7293939927205544,18.834240000000005,0.8418091470775514,35.991173913043674,169%,88%
512,128,"(5, 1)",128,16,torch.bfloat16,3,False,48.839868131868144,,21.770439999999986,0,0.721428868608785,,,47.19695918367348,217%,NaN
512,128,"(5, 1)",128,16,torch.bfloat16,4,False,59.665311111111116,,27.257299999999965,0,0.5816730017372933,27.155276595744652,0.6058079320240005,182.3769400000001,669%,100%
4096,4,"(5, 1)",128,16,torch.bfloat16,1,False,14.526839999999957,21.50784161616162,14.324112929292804,0,0.2666380736699932,35.05736170212765,0.10907867294357958,14.384282828282826,100%,245%
4096,4,"(5, 1)",128,16,torch.bfloat16,2,False,18.426420000000007,26.680969696969782,14.48323999999998,0,0.2640300437865532,33.94561224489796,0.11292545526833025,17.25603999999988,119%,234%
4096,4,"(5, 1)",128,16,torch.bfloat16,3,False,21.185660000000002,,14.670501010100944,0,0.26097725644189756,60.856505154639166,0.06314258324724936,20.349448979591802,139%,415%
4096,4,"(5, 1)",128,16,torch.bfloat16,4,False,23.776480000000078,,17.89717876288664,0,0.21418592102719944,60.88786956521737,0.06326301439211585,57.153760000000005,319%,340%
4096,80,"(5, 1)",128,16,torch.bfloat16,1,False,63.229653061224546,217.1326137373738,52.75210101010098,0,1.44803858248859,39.64396969696972,1.9291763769375756,51.07689361702128,97%,75%
4096,80,"(5, 1)",128,16,torch.bfloat16,2,False,90.01313402061854,297.92174631578945,54.837301676559285,0,1.3946749290932976,36.05993877551022,2.1260844290288565,98.19067999999994,179%,66%
4096,80,"(5, 1)",128,16,torch.bfloat16,3,False,135.19074747474744,,56.70112453608252,0,1.3504730763524129,62.42127083333338,1.2311947166610613,131.86489795918374,233%,110%
4096,80,"(5, 1)",128,16,torch.bfloat16,4,False,168.07320408163258,,73.42342040816318,0,1.0441692026352731,62.57714285714282,1.2311045192341954,639.6252857142852,871%,85%
4096,128,"(5, 1)",128,16,torch.bfloat16,1,False,91.8738585858586,350.14184083333333,78.63952577319596,0,1.5541716828815941,67.07293749999997,1.8244069856620935,74.8949387755102,95%,85%
4096,128,"(5, 1)",128,16,torch.bfloat16,2,False,137.43668131868137,480.80088666666643,81.44300408163265,0,1.5025027269527493,69.85942105263159,1.7559028846708868,151.66085999999999,186%,86%
4096,128,"(5, 1)",128,16,torch.bfloat16,3,False,212.0778400000001,,84.1917795918368,0,1.4552174562621387,122.40224999999998,1.0045924986806276,208.1366399999999,247%,145%
4096,128,"(5, 1)",128,16,torch.bfloat16,4,False,264.8338979591837,,110.62789234042555,0,1.1088194518818402,122.68270833333328,1.004725173335752,1022.462755102041,924%,111%
