context_lengths,batch_size,num_heads,head_size,block_size,data_type,query_length,trans_v,us_hip_bf16,us_triton_fp8,us_gluon_fp8,err_gluon_fp8,gluon_fp8_bandwith(TB/s),us_asm_fp8,asm_fp8_bandwith(TB/s),us_hip_fp8,perf_fp8_gluon_vs_hip,perf_fp8_gluon_vs_asm
512,4,"(5, 1)",128,16,torch.bfloat16,1,True,14.001752577319744,19.052846966292062,12.08163999999994,0,0.03985334533028667,9.379639175257722,0.05183039292510117,13.753639999999946,114%,78%
512,4,"(5, 1)",128,16,torch.bfloat16,2,True,17.679298969072118,24.322289767441905,12.20605999999993,0,0.03982860840838752,9.682656565656576,0.051170214117972,16.489831578947474,135%,79%
512,4,"(5, 1)",128,16,torch.bfloat16,3,True,20.422624999999936,,12.308500000000024,0,0.0398754516653009,,,19.625836734693845,159%,NaN
512,4,"(5, 1)",128,16,torch.bfloat16,4,True,23.105073684210527,,14.767628787878863,0,0.03355065439497684,14.13439393939393,0.03637156735492741,46.45285714285716,315%,96%
512,80,"(5, 1)",128,16,torch.bfloat16,1,True,17.68053012048183,32.99548816326524,15.693094949495038,0,0.6136377465704373,10.457419999999997,0.9297711748199455,16.7720399999999,107%,67%
512,80,"(5, 1)",128,16,torch.bfloat16,2,True,24.2565287356322,43.29006000000007,15.957538862353458,0,0.6093049663143117,10.429440000000014,0.9501250492748102,22.454459999999973,141%,65%
512,80,"(5, 1)",128,16,torch.bfloat16,3,True,29.558096385542154,,16.369781818181774,0,0.5996500164433738,,,28.46979381443306,174%,NaN
512,80,"(5, 1)",128,16,torch.bfloat16,4,True,36.26334782608691,,20.053050505050475,0,0.4941528567642605,15.104755102040812,0.6806996309636096,103.07752,514%,75%
512,128,"(5, 1)",128,16,torch.bfloat16,1,True,23.048643678160907,59.21817999999996,20.697269484536122,0,0.7444363946630906,15.167040000000002,1.025698639047365,20.726701030927885,100%,73%
512,128,"(5, 1)",128,16,torch.bfloat16,2,True,35.85332608695671,79.71227999999998,21.18270750000007,0,0.7344109475324105,19.23537113402062,0.8242542033520873,35.900659574468115,169%,91%
512,128,"(5, 1)",128,16,torch.bfloat16,3,True,48.92078260869557,,21.63846530612255,0,0.7258289197557601,,,47.127936170212806,218%,NaN
512,128,"(5, 1)",128,16,torch.bfloat16,4,True,59.76037777777776,,27.283806938775566,0,0.5811078910590411,27.209285714285695,0.6046054325259483,182.44573999999997,669%,100%
4096,4,"(5, 1)",128,16,torch.bfloat16,1,True,14.381070707070718,21.609090225563968,14.282286868686814,0,0.2674189304285587,35.08606122448981,0.10898944931162645,14.389619999999985,101%,246%
4096,4,"(5, 1)",128,16,torch.bfloat16,2,True,18.436080000000008,26.734060000000078,14.514296365719051,0,0.2634650964136978,33.96392929292928,0.1128645535696408,17.162860000000045,118%,234%
4096,4,"(5, 1)",128,16,torch.bfloat16,3,True,21.15607999999996,,14.695599999999951,0,0.26053152673209967,60.87551020408165,0.0631228704282107,20.346343434343396,138%,414%
4096,4,"(5, 1)",128,16,torch.bfloat16,4,True,23.79927272727267,,17.915639999999986,0,0.21396521235732088,61.02742105263164,0.06311835077034628,57.23898989898985,319%,341%
4096,80,"(5, 1)",128,16,torch.bfloat16,1,True,63.392273684210615,217.47665999999998,52.824912929292935,0,1.4460426593074933,39.766797979797985,1.923217702020564,51.41038775510206,97%,75%
4096,80,"(5, 1)",128,16,torch.bfloat16,2,True,89.93228865979385,299.3119892542445,54.5657916666667,0,1.4016145920621457,35.97095918367349,2.1313436194702193,98.29628000000004,180%,66%
4096,80,"(5, 1)",128,16,torch.bfloat16,3,True,135.0666868686869,,56.66201616161618,0,1.3514051788498964,62.396711340206174,1.231679317812831,131.73555102040825,232%,110%
4096,80,"(5, 1)",128,16,torch.bfloat16,4,True,168.0292323232324,,74.17325306122453,0,1.0336134816557618,62.494959595959614,1.2327234687447186,640.4975102040817,864%,84%
4096,128,"(5, 1)",128,16,torch.bfloat16,1,True,97.02166233766243,350.9798775510206,78.72870454545456,0,1.5524112179614777,67.0432424242424,1.8252150597004742,74.91703030303036,95%,85%
4096,128,"(5, 1)",128,16,torch.bfloat16,2,True,137.30745238095238,482.51296747252746,81.34647298969078,0,1.5042856958209478,69.93857894736846,1.7539155183588324,151.89785858585864,187%,86%
4096,128,"(5, 1)",128,16,torch.bfloat16,3,True,211.96944000000008,,84.07346000000004,0,1.4572654359153927,122.20665656565657,1.0062003627892984,207.96630303030307,247%,145%
4096,128,"(5, 1)",128,16,torch.bfloat16,4,True,264.6526530612244,,112.54624626262623,0,1.0899195932444732,122.5239166666667,1.0060273026600204,1022.8653131313131,909%,109%
4097,4,"(5, 1)",128,16,torch.bfloat16,1,True,14.584040000000055,22.97206,15.664987499999961,0,0.24387413019465873,37.09420408163262,0.10311427104698839,14.490949494949508,93%,237%
4097,4,"(5, 1)",128,16,torch.bfloat16,2,True,18.34606,28.056140404040473,15.854262222222228,0,0.2412563738591705,35.77528282828282,0.1071760930052154,17.234040000000043,109%,226%
4097,4,"(5, 1)",128,16,torch.bfloat16,3,True,21.177639999999975,,15.961147474747484,0,0.23993252570830179,65.00004166666668,0.05913178156328996,20.328545454545388,127%,407%
4097,4,"(5, 1)",128,16,torch.bfloat16,4,True,23.75210000000001,,20.548831685273747,0,0.1865923619608861,65.12411340206184,0.05916213350034261,57.012727272727254,277%,317%
4097,80,"(5, 1)",128,16,torch.bfloat16,1,True,65.46193877551023,231.47954747474736,56.503658833230276,0,1.35222577792642,41.52122916666669,1.8424029782896885,53.899812499999946,95%,73%
4097,80,"(5, 1)",128,16,torch.bfloat16,2,True,96.14827083333329,317.9292558333334,58.078599999999945,0,1.3171604735464606,37.88320408163264,2.0242506581173427,103.8341855670104,179%,65%
4097,80,"(5, 1)",128,16,torch.bfloat16,3,True,144.31721649484535,,60.34867858585855,0,1.2691573424828007,66.53389795918366,1.1553714372171553,141.03681999999992,234%,110%
4097,80,"(5, 1)",128,16,torch.bfloat16,4,True,178.26197979797982,,80.30447154639167,0,0.9549293995358369,66.52122222222225,1.1583916718526952,680.7337575757575,848%,83%
4097,128,"(5, 1)",128,16,torch.bfloat16,1,True,96.70012121212118,375.20825393939384,84.16381535353538,0,1.4525140753281092,69.43045833333328,1.76288823355645,79.69719587628867,95%,82%
4097,128,"(5, 1)",128,16,torch.bfloat16,2,True,146.23760824742266,517.3217507216499,86.69499000000006,0,1.4118248130170445,73.6632857142857,1.665635195069052,161.71888888888878,187%,85%
4097,128,"(5, 1)",128,16,torch.bfloat16,3,True,228.1318999999999,,90.04950000000004,0,1.3608865086225135,130.32522916666662,0.9437480776398808,224.95208247422678,250%,145%
4097,128,"(5, 1)",128,16,torch.bfloat16,4,True,284.3010909090911,,127.77519973947034,0,0.9602502012934846,130.6579484536082,0.9436257738400964,1095.5123838383838,857%,102%
512,4,"(8, 1)",128,16,torch.bfloat16,1,True,14.094775510204112,19.17799099692567,12.120276734693864,0,0.0399568218944863,9.3679292929293,0.052491677084724096,13.789333333333374,114%,77%
512,4,"(8, 1)",128,16,torch.bfloat16,2,True,17.651736263736296,24.340230526315764,12.29505050505047,0,0.039994818987931766,9.742113402061841,0.052005089622914266,16.42540816326531,134%,79%
512,4,"(8, 1)",128,16,torch.bfloat16,3,True,20.24711340206195,,15.59131185539606,0,0.03201711983081976,,,19.3471515151516,124%,NaN
512,4,"(8, 1)",128,16,torch.bfloat16,4,True,22.697673469387766,,15.703260000000036,0,0.03226333134590009,14.261083333333323,0.037615782086109585,46.74684848484848,298%,91%
512,80,"(8, 1)",128,16,torch.bfloat16,1,True,17.5644146341463,33.25447999999996,15.909094545454568,0,0.6088187324757787,10.371545454545451,0.9482450258779178,16.70601999999989,105%,65%
512,80,"(8, 1)",128,16,torch.bfloat16,2,True,26.31451111111102,43.650199999999884,16.256783673469428,0,0.604963846814883,10.468239999999996,0.9679554167478399,24.659111111111006,152%,64%
512,80,"(8, 1)",128,16,torch.bfloat16,3,True,33.432880952380934,,20.683009467704625,0,0.4827043189951175,,,32.400101010100954,157%,NaN
512,80,"(8, 1)",128,16,torch.bfloat16,4,True,40.384045454545486,,21.647852653061225,0,0.4680736595083728,15.073404040404034,0.7117726049677847,107.29973737373744,496%,70%
512,128,"(8, 1)",128,16,torch.bfloat16,1,True,25.551632183908033,59.71969999999995,20.679279999999984,0,0.7494075055611981,14.92440206185567,1.054355555116061,23.080959183673475,112%,72%
512,128,"(8, 1)",128,16,torch.bfloat16,2,True,39.12997802197812,80.2207,21.419346938775476,0,0.7346454710165272,19.173082474226803,0.8455846054331465,38.78253333333322,181%,90%
512,128,"(8, 1)",128,16,torch.bfloat16,3,True,53.75552808988764,,28.72127999999998,0,0.5561745437461247,,,51.308731182795626,179%,NaN
512,128,"(8, 1)",128,16,torch.bfloat16,4,True,66.37862222222219,,30.022479999999945,0,0.5400107978723369,27.35537113402062,0.6275234801681692,189.77353535353532,632%,91%
4096,4,"(8, 1)",128,16,torch.bfloat16,1,True,14.661220000000016,21.689440816326513,14.463398989899009,0,0.2642634590175688,35.10533333333334,0.10908879259045669,14.396000000000022,100%,243%
4096,4,"(8, 1)",128,16,torch.bfloat16,2,True,18.338880000000024,26.99091346938772,14.749826060605944,0,0.25963685341666476,34.104104166666666,0.11272835577866627,17.09204000000001,116%,231%
4096,4,"(8, 1)",128,16,torch.bfloat16,3,True,20.997212121212197,,18.726080000000024,0,0.20490401661296787,,,19.971320000000002,107%,NaN
